symbol,atomic_weight,atomic_number,period,group,Mendeleev_number,valencee_total,unpaired_electrons,Gilman,Z_eff,ionization_energy,coordination_number,ratio_closest,polyhedron_distortion,CIF_radius,Pauling_radius_CN12,Pauling_EN,Martynov_Batsanov_EN,melting_point_K,density,specific_heat,cohesive_energy,bulk_modulus
Li,6.941,3,2,1,1,1,1,1,1.259,5.3917,14,0.5714285714285714,0.866,1.488,1.549,0.98,0.9,453.65,0.535,3.6,1.63,11.6
Be,9.01218,4,2,2,67,2,0,2,1.656,9.3227,12,0.5,0.974,1.072,1.123,1.57,1.45,1551.15,1.85,1.82,3.32,110.0
B,10.811,5,2,13,72,3,1,3,1.561,8.298,6,0.1666666666666667,0.958,0.807,0.98,2.04,1.9,2352.15,2.34,1.02,5.81,178.0
C,12.011,6,2,14,77,4,2,4,1.8193,11.2603,3,1.0,1.0,0.76,0.914,2.55,2.37,3640.15,2.25,0.71,7.37,443.0
N,14.00674,7,2,15,82,5,3,5,2.068,14.5341,1,0.1052,1.0,0.536,0.88,3.04,2.85,63.24999999999997,0.00125,1.04,4.92,1.2
O,15.9994,8,2,16,87,6,2,6,2.001,13.6181,1,0.059,1.0,0.611,1.115,3.44,3.32,54.74999999999997,0.00143,0.92,2.62,2.24694867972457
F,18.998403,9,2,17,93,7,1,7,2.263,17.4228,1,0.3335,1.0,0.709,1.6,3.98,3.78,53.34999999999997,0.0017,0.82,0.84,2.2
Na,22.989768,11,3,1,2,1,1,1,1.842,5.1391,14,0.4285714285714285,0.866,1.662,1.896,0.93,0.89,370.95,0.971,1.23,1.113,6.8
Mg,24.305,12,3,2,68,2,0,2,2.248,7.6462,12,0.4166666666666667,0.995,1.587,1.598,1.31,1.31,922.15,1.74,1.02,1.51,35.6
Al,26.981539,13,3,13,73,3,1,3,1.989,5.9858,12,1.0,1.0,1.31,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2
Si,28.0855,14,3,14,78,4,2,4,2.321,8.1517,4,1.0,1.0,1.176,1.316,1.9,1.98,1683.15,2.33,0.71,4.63,98.0
P,30.973762,15,3,15,83,5,3,5,3.412,10.4867,3,0.3333333333333333,0.998,1.123,1.28,2.19,2.32,317.25,1.82,0.77,3.43,30.4
S,32.066,16,3,16,88,6,2,6,2.617,10.36,2,0.5,0.9985351562499999,1.074,1.27,2.58,2.65,385.95,2.07,0.71,2.85,7.7
Cl,35.4527,17,3,17,94,7,1,7,2.928,12.9676,1,0.194,1.0,0.968,1.448,3.16,2.98,172.15,0.00321,0.48,1.4,1.1
K,39.0983,19,4,1,3,1,1,1,1.694,4.3407,14,0.5714285714285714,0.866,1.823,2.349,0.82,0.8,336.4,0.86,0.75,0.934,3.2
Ca,40.078,20,4,2,7,2,0,2,2.68,6.1132,12,0.8333333333333334,1.0,1.716,1.97,1.0,1.17,1112.15,1.55,0.63,1.84,17.2
Sc,44.95591,21,4,3,11,3,1,1,2.777,6.5615,12,0.5,0.984,1.641,1.62,1.36,1.5,1814.15,2.99,0.6,3.9,56.6
Ti,47.867,22,4,4,43,4,2,2,2.833,6.8281,12,0.5,0.977,1.406,1.467,1.54,1.86,1933.15,4.54,0.52,4.85,108.0
V,50.9415,23,4,5,46,5,3,3,2.816,6.7462,14,0.5714285714285714,0.866,1.307,1.338,1.63,2.22,2163.15,6.11,0.49,5.31,158.0
Cr,51.9961,24,4,6,49,6,4,4,2.82,6.7665,14,0.5714285714285714,0.866,1.204,1.357,1.66,2.0,2130.15,7.19,0.45,4.1,160.0
Mn,54.93805,25,4,7,52,7,5,5,2.956,7.434,12,0.08333333333333333,0.961,1.164,1.306,1.55,2.04,1517.15,7.43,0.48,2.92,92.6
Fe,55.847,26,4,8,55,8,4,5,3.0478,7.9024,14,0.5714285714285714,0.866,1.242,1.26,1.83,1.67,1808.15,7.86,0.44,4.28,166.0
